# Total entries: 483
# Partitions: world_overview / numerical_design / character_detail / region_detail / var_update
# Format: UID | comment | content_preview(100chars)

# BATCH 4/5: entries 319-424

574072|[种族-兽族]|--- # 兽族 生物分类: 智慧生物-亚人-兽族 概述: 拥有野兽特征的类人种族，感官敏锐，体魄强健 形态分类:   兽耳种: 人类外貌+兽耳/尾巴 (狼/虎/熊/羊/犬/牛/鼠/蝾螈/猫/狐族等)
578140|[种族-巨龙(K1nn)]|--- # 巨龙 note: 与古龙不同 外貌特征:     概述: 四足双翼的庞然大物，身覆元素鳞片，拥有蛇颈、长尾与巨大翼膜，体型随力量增长而膨胀 年龄与寿命:     平均寿命: 千年，有传言龙
578277|[专业设施建造与租赁]|--- # 专业设施建造与租赁 概述: /   一个为专业技术人员（如炼金术师、锻造师）提供工作场所的高端利基市场。这些设施的建造成本高昂，且需要专业知识，因此催生了成熟的租赁业务 核心产业: /  
579829|[DLC][扩展][地理拓扑优化][>长途移动与地理参考]优化地理拓扑|<%_ { _%>  <%_  // 获取当前地点变量 const currentLocation = getMessageVar('stat_data.世界.地点') // '未知';  // 定义
585947|[诺斯加德联盟-总览]|--- 势力-诺斯加德联盟:   概览:     定位: 坐落于大陆北境的联邦制国家，环绕苍白海而建，背靠碎冕冰脊     标识: 燃烧的铁冠与五色宝石     首都: 白曜城     统治者: 诺斯
586014|[世界规则]|<虚海规则> 虚海宇宙规则:   核心法则:     客观现实原则: 物理/魔法/社会法则及战斗/生产协议具有最高优先级。世界独立运转，严禁为迎合<user>意图而扭曲客观设定     意图非既定事实
586683|[DLC][事件][瓷化密室]本体(aoo-密室逃脱，需要动屏幕外的人的脑子来解谜，在雾晶港旧城区搜索入口吧)|<%_ { // start block: avoid variable collision _%>  <%_ if (!Array.isArray(getMessageVar('stat_data.
586836|[瓦伦蒂亚-中城区-教会区(快乐柠萌茶)]|---     瓦伦蒂亚-教会区:       概述: 城市建立之初即存在的宗教区域       环境:         民宅密集         建筑以洁白巨石砌成，风格庄重典雅         街
588191|[精灵文明-艾尔文海姆]|--- 势力-艾尔文海姆倡议:   概览:     定位: 位于最西南端翡翠之心的基于与翠梦乡之树共生的古老契约而形成的、去中心化的文明聚合体，而非一个具备成文法律与固定疆域的国家实体     倡议本
589322|➡️事件结束|曼
592932|[诺斯加德联盟-城镇-白曜城-银息河岸区]|    银息河岸区: /       沿银息河北岸延展的贸易与物流带，白曜城最喧闹的商业区域       五色集市是联盟规模最大的综合性常设集市——来自五大公国的特产在此汇聚交易，摊位以公国旗色分区标
593347|[长途移动与地理参考]|长途移动与地理参考:   地理逻辑强调:     - 独立性原则: 路线中的“目的地”均为独立城市或地理区域，非起点内部设施    日行距离(公里):     徒步: 40      骑乘: 80  
593795|命定系统-lily核心(青砚)|<白祷> 白祷:   定义: 源自虚海深处的静谧祈愿，并非器物，也非术式，而是一缕寄宿于<user>灵魂中的纯白意志。它在意识尽头化作守望污秽的白巫女，聆听逝者残响，承受本不该由凡人承受的苦痛，将濒于
597883|[奥古斯提姆帝国-艾瑟嘉德(快乐柠萌茶)]|--- 艾瑟嘉德:   位置: 奥古斯提姆帝国-艾瑟尼亚省   规模: 首都   人口构成: 人类99%/翼民1%(宗教/学者)/精灵(学者/旅客)   环境: 白金拱桥横跨云层，辉煌宫殿群巍峨壮丽，
600875|[种族-兽族-蝾螈]|--- # 蝾螈族 生物分类: 智慧生物-亚人-兽族-蝾螈 概述: 长着光滑粗壮的蝾螈尾巴，位于头部两侧有扇形羽状外鳃的兽耳种 整体印象: 除尾巴与外鳃外与人类无异，体型娇小轻盈，外表极为可爱，性别难
601782|[无尽树海-真菌洼地]|真菌洼地:   位置: 无尽树海-浅层   环境: 孢子聚集形成的迷雾笼罩的潮湿洼地，各种菌类占据了这儿的全部   概况: 树海浅层，内里遍布危险的植被和蕈人   地形: 潮湿洼地、真菌巨树、菌群地毯
602577|[种族繁衍]|繁衍:   生命层级影响: 层级越高，生育概率越低；双方都高则概率进一步降低；第五层级可能获得特殊血脉   自然诞生: 由能量活化产生（如妖精、魔物）   后天转化: 通过仪式等方式改变种族（如转化为
605172|[DLC][角色][乌雅娅]乌雅娅(k1nn-血族真祖,活跃于银帆城)|乌雅娅:   基础信息:     种族: 血族     职业: 暗夜女王     生命层级: 第六层级 (神话层级/LV.24)     阵营: 守序混沌     核心诉求: 兼具力量与脆弱血族真祖，
607512|[精灵文明-龙栖峰峦]|龙栖峰峦:   环境:     古木与裸露山峰交错，云雾缭绕     栖息多种古老的魔法生物与亚龙种     传说有与世界树共生的[远古绿龙-维里迪斯之息(第五层级)]在此沉睡   功能:     精
610018|[DLC][事件][猩红之影]入口|<%_ {   const completedEvent = getMessageVar ('stat_data.事件.已完成事件', { defaults: [] }); if (   !compl
610536|[兽族联盟-地理与文化]|  地理与文化:     地理与环境:       气候与人文: 核心领土为"无尽风痕草原"，气候多风干旱，兽族沿着水源与河谷建设聚落，部分种族游牧狩猎，草原珍贵动植物丰富，各种大型生物种群繁衍生息 
610570|[DLC][扩展][服装生成要求]-开始|<服装生成要求> 描绘角色服装时需要遵循以下要求： 1. 确定层级:     - 必须先根据角色身份、场景及环境，决定其穿着的[服装层级组合]。    - 可能的组合示例：[内衣+上装+下装+足部] 
610636|[冒险区域-边陲之国]|--- 边陲之国:   概述:     位置: 与无尽树海永寂密林下方接壤，面积约50万平方公里     核心: 由外城“悲叹之城”包围内城“王国都城”构成的双子城市结构     性质: 被“死亡之雨
