# Total entries: 483
# Partitions: world_overview / numerical_design / character_detail / region_detail / var_update
# Format: UID | comment | content_preview(100chars)

# BATCH 5/5: entries 425-530

776861|[诺斯加德联盟-城镇-林歌城-河岸木场]|    河岸木场: /       苍叶河穿越城区河段的两岸工业带，铁木加工与水运物流的心脏       北岸为精加工区——炼金锯具将铁木原木切割为标准化板材、梁柱与船用龙骨料；树脂炼坊群沿河排列，将
782204|[DLC][角色][傲雪][<东方龙裔]傲雪(Hilo-龙裔,寒潭剑姬,活跃于诺斯加德)|--- 傲雪:   基本信息:     称号: 寒潭剑姬, 霜龙之女     性别: 女性     年龄: 19 (实际年龄160岁)     种族: 龙裔     阵营: 守序中立    背景故事:
785442|[DLC][角色][雌小鬼与熟女与龙]骸响之都部分补充|{{setvar::骸响之都补充::,在骸响之都最深处，封印着强大的神话古龙【骸响龙姬】。如今封印松动，其不断向外散播着破坏低语，控制着众多亚龙与魔物袭击附近城镇，企图冲破牢笼。}}
786521|[种族-构装体]|--- # 构装体:   概念: 经魔法仪式或工程制造，由魔力驱动的非自然物体   本质: 物品。无灵魂，无生理机能，无生命体征   典型: 活化物体(扫把/铠甲)、魔像(泥/石/铁)、魔导机械(自律
786822|[复活机制]|{{getvar::复活机制}}
789521|[奥古斯提姆帝国-金谷城(快乐柠萌茶)]|--- 金谷城:   位置: 奥古斯提姆帝国-维里迪斯省   规模: 大型城市   人口构成: 人类84%/兽族15.9%(商品/奴隶)/翼民(宗教)/精灵(旅客)   环境: 金色麦浪环绕的贸易都市
789627|[DLC][扩展][神秘使扩展]源质污染|源素污染:   概念: 当人为处理魔素时，不稳定的源素以非自然的方式逸散到环境中，会对环境造成负面影响   低度污染: 环境会随污染魔素的种类产生相应变化（如Ignis污染使温度升高，Aqua污染使湿
794948|[瓦伦蒂亚(快乐柠萌茶)]|--- 势力-瓦伦蒂亚公国:   概览:     定位: 压制并封印位面交汇出口的桥头堡     标识: 地城与重锤     首都: 瓦伦蒂亚     宗旨: 镇压地城，封印位面交汇出口，服务冒险者 
795027|命定系统-null核心(H一串)| <system_mode> definition: The system is unavailable in this mode effects:   <user>: Does not have a
800223|命定系统-UNN演播室核心(lili)|<命定之诗> 命定之诗:   定义: 源自虚海的未知力量，非阿斯塔利亚诸神之物。它寄宿于<user>灵魂中，化为拥有独立人格的「命定之灵」。其力量本质是操纵命运之线——感知、牵引、交织不同生命的因果。
